Subject,Music_Condition,Phase,Theta_Mean,Theta_Std,Alpha_Mean,Alpha_Std,Alpha_Theta_Mean,Alpha_Theta_Std
A_M,classical,baseline_EC,2.653534152356551,1.3013758237532402,3.699478495633281,2.8755315822009284,1.3688899560005277,0.4847774565938581
A_M,classical,baseline_EO,2.3386362515402515,1.199866736917688,4.580314584963572,3.8177095420988576,1.9234300053096136,0.5658112460732595
A_M,classical,break1,2.651704067628591,1.2058504350843986,3.4365914101240063,1.6455739293983715,1.3358926572896712,0.2782969469451269
A_M,classical,break2,3.135741135259004,1.8362514260950753,3.3724813104901075,4.089865250381325,1.0235440384691965,0.47187270556335564
A_M,classical,meditation,2.524031669217288,1.156327490005082,2.8578053852587355,1.4155513813708902,1.1686324932644083,0.2615678751177555
A_M,classical,task_music,3.3647225606952444,2.9696910929219325,3.015161902925628,1.9027989722872385,1.1020798469512916,0.46218636683803327
A_M,classical,task_no_music,2.2802505340248738,1.0732947420803647,2.8422212656045844,1.768243236226289,1.2629530735832732,0.4207004597850418
A_S,classical,baseline_EC,6.8869339115968815,3.259667720442337,48.36204650961111,18.789438002780596,7.710565160398639,2.24497168657195
A_S,classical,baseline_EO,4.700925358899585,4.674901808716497,19.409934185362445,11.599773085088417,6.0578281012987505,3.9102514788600717
A_S,classical,break1,4.531183358004935,2.5748028842946926,39.62202763608144,19.75826728654404,10.24794686361339,4.6829495947768
A_S,classical,break2,4.554738693340537,2.4848212851378855,35.719507926381,16.78607479277932,9.130080731572384,3.7578784813440413
A_S,classical,meditation,4.942149676633971,2.7323343747175777,34.28866732650865,15.974322651084336,8.14162545709405,3.457388784053445
A_S,classical,post_EC,5.288198742082238,6.2762068247319585,14.765513482692125,8.244800006347218,4.907899522790301,3.1570892448637236
A_S,classical,task_music,4.877525193605437,2.259995158646713,36.61469603463587,15.686958768957552,8.132055704651812,2.5766364261507535
A_S,classical,task_no_music,4.923556627766359,2.5018976250063,39.287917297913744,17.26316216735963,8.883372213711665,3.216971837184201
B_A,Rock,baseline_EC,3.5287705336529998,2.1285230919553584,22.198504284873966,12.53390451869389,6.8411937017334745,1.952831675476519
B_A,Rock,baseline_EO,3.097534491776234,2.71082887959,6.702130149891506,3.2160532371102253,3.2187971774812625,1.7161887297853289
B_A,Rock,break1,3.0519019361371194,2.428616271660075,12.087522772955031,5.424255378847789,4.967111618431513,1.6959451096340323
B_A,Rock,break2,2.7517041468470715,2.377877169388664,9.719382201125137,4.174464072770038,4.945704533852728,2.09169784674172
B_A,Rock,meditation,2.9479879609145128,1.9626550429614575,20.13708892995856,13.224634710813529,7.61265558072132,2.6980271187676514
B_A,Rock,post_EC,2.5630037160055683,2.1193851957324488,9.43774687309126,4.8231012626588265,5.004704733389436,2.305117243045236
B_A,Rock,task_music,2.648076931485134,2.076936478333717,7.511186457094419,3.3006469587254554,3.6023191049459418,1.1423488366219103
B_A,Rock,task_no_music,2.8429778572514746,2.028551546610522,9.390456479552325,5.3164224413412455,4.113363229362918,1.9088296786987757
S_H,Rock,baseline_EC,2.485483492698663,1.4771826203859946,6.1263930079723545,3.488575803523693,2.858487604693972,1.4486666816520466
S_H,Rock,baseline_EO,2.9364765576317082,2.8646538418446976,3.6893952261319938,1.6490391319236444,1.6802992398710535,0.7172399008463279
S_H,Rock,break1,2.645796669665868,1.6853313663792735,3.515770426827093,2.134386297996319,1.5629384589304103,0.8690962159168871
S_H,Rock,break2,2.4566143658825683,1.3989129545898498,3.0331482763178736,1.4275705571639066,1.3752293155129154,0.4292737707872561
S_H,Rock,meditation,2.3945792169386313,1.2944105695207178,3.624514762330959,1.5401203974770223,1.688423817343992,0.5604399375761092
S_H,Rock,post_EC,3.966382019011375,4.987829301037481,3.114113310043208,1.2872006465962125,1.2007461930608359,0.5895270175357756
S_H,Rock,task_music,2.2279112221555146,1.2072805985163935,4.345291751524157,2.1470185775154045,2.075108462113986,0.6256874757857275
S_H,Rock,task_no_music,2.4177716639486793,1.3976542894069113,6.25879901293477,4.123406862783749,2.780645659323832,1.56957428070945
S_HA,classical,baseline_EC,1.8107877188976433,1.1778094430280688,1.3573253260425069,0.6207308672360982,0.9118335602691517,0.3477312578152111
S_HA,classical,baseline_EO,1.9856523168215199,1.7934498260508902,0.8594496281260441,0.5472254653908527,0.5714760525650453,0.17683818046466654
S_HA,classical,break1,1.9473557980836311,1.3012945622812173,0.8890817420012833,0.4806949293497316,0.4999475994997827,0.09152807454002176
S_HA,classical,break2,2.1923301614881714,1.3153543685047246,1.0052616184910728,0.5644683933611532,0.48227217878740763,0.13091422761820118
S_HA,classical,meditation,2.1082091420239637,1.2489249381479255,0.95231780105623,0.474869989908448,0.49299335027654184,0.09360026482382829
S_HA,classical,post_EC,2.863862021491961,2.541547625246401,1.0328701947683918,0.47281919652792986,0.4536385391016589,0.12865909858686142
S_HA,classical,task_music,2.144609233408072,1.330854179957743,1.0367127126489157,0.5250075604328762,0.5308554877891746,0.11324687682288252
S_HA,classical,task_no_music,1.8419025538279834,1.1952426703487868,1.057155651253443,0.5220538647935373,0.649939613917722,0.16006212156666047
S_M,Rock,baseline_EC,4.449364288634341,3.7931640373729913,13.761143559511657,16.48923856485886,2.6459660721084166,1.0964003182683855
S_M,Rock,baseline_EO,3.1329824770989974,3.0751939403811237,1.009589244202914,0.7068039442883646,0.36865154823058044,0.08178848058217546
S_M,Rock,break1,3.0438940201140494,2.024109838582896,11.293583386774083,14.158851255572042,3.1638338433363384,2.1035820212333167
S_M,Rock,break2,2.85461442120908,1.989627620838356,7.697222560299957,9.116405315177978,2.881044880323384,2.3728484717476652
S_M,Rock,meditation,2.3248452509463635,1.3694382353236128,5.76240128088573,6.789394698697534,2.310635638293984,1.7645441154453878
S_M,Rock,task_music,2.455900765954673,1.5646553720298555,9.3706226344878,11.534181750339663,3.3064164424693727,2.232573247637495
S_M,Rock,task_no_music,2.646639668594108,1.7971809034409822,9.180656982786525,11.103787476565442,3.016464327358622,1.7320792453349334
